,RMSE,MAE,R2,Pearson,Spearman
Random Forest (train),0.01458843843317934,0.007201606449060679,0.986898147252368,0.9937519347560905,0.9949357927956209
Random Forest (test),0.04021769603691053,0.019913540234362197,0.9054992281458439,0.9517209714655285,0.9695819095578356
