,RMSE,MAE,R2,Pearson,Spearman
Linear Regression (train),0.06428234563302093,0.039283901484575466,0.7456108808959672,0.8643156467898335,0.8526870947979631
Linear Regression (test),0.06630130837229191,0.040289807568830056,0.7431703390991369,0.8631909072107735,0.8587402625177519
