,RMSE,MAE,R2,Pearson,Spearman
XGBoost (train),0.0274232535295623,0.014774930316441814,0.9537029778564199,0.9770787028809059,0.9754383101159195
XGBoost (test),0.03940860724095661,0.0193400240522644,0.9092632637413479,0.9542352240334743,0.9715138240232568
