,RMSE,MAE,R2,Pearson,Spearman
Neural Network (train),0.03681803123342385,0.0199009356577618,0.9165481009760984,0.9574336209347308,0.956623152332584
Neural Network (test),0.042664748730249245,0.021736045965863208,0.893649541798061,0.9455684754622116,0.9554156241712192
