competition,season,teams,main_role,player_id,player_name,presences,matches_started,full_matches,minutes_played,substitutions_in,substitutions_out,yellow_cards,red_cards,shots_attempted,shots_on_target,goals,xg_total,xg_avg,headers,assists,key_passes,passes_attempted,passes_completed,progressive_passes,crosses,switches,avg_pass_angle,avg_pass_length,carries_attempted,carry_distance_total,progressive_carries,carries_to_penalty_area,dribbles_attempted,dribbles_completed,dribble_overruns,duels_attempted,duels_won,interceptions_attempted,interceptions_won,blocks,clearances,ball_recoveries,pressures,dispossessed,fouls_committed,fouls_won,own_goals,gk_goals_conceded,gk_shots_faced,gk_saves,gk_penalties_saved,gk_clean_sheet
Spain - La Liga,2015/2016,['Atlético Madrid'],Left Midfield,5199,Koke,35,34,28,3107,1,6,4,0,42,12,5,3.36,2.03,5,14,64,2272,1743,390,81,77,6.38,635.42,1681,6782.77,107,26,53,27,4,143,17,47,23,56,30,191,667,51,43,63,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Atlético Madrid'],Left Midfield,5633,Yannick Carrasco,29,16,1,1569,13,15,5,0,54,17,4,4.2,2.46,0,1,19,812,617,86,44,25,12.65,433.32,876,7513.14,185,62,116,67,4,64,6,25,14,47,10,134,290,46,36,32,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Atlético Madrid'],Right Center Forward,6744,Luciano Vietto,19,12,1,1000,7,11,3,0,25,5,1,2.81,1.2,5,3,9,375,294,23,11,5,4.43,259.88,393,2397.97,45,34,31,20,5,50,5,5,3,13,2,45,206,28,13,23,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Atlético Madrid'],Right Center Forward,6377,Ángel Correa,26,8,1,1041,18,7,7,0,30,14,5,3.49,1.95,2,3,14,354,236,67,14,13,1.1,400.46,477,3066.67,67,68,65,32,8,57,8,11,3,29,3,74,288,54,29,31,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Atlético Madrid'],Left Center Forward,5487,Antoine Griezmann,38,36,20,3164,2,16,5,0,92,43,22,15.96,5.82,11,5,49,1394,1093,167,37,27,-3.66,594.76,1226,7436.22,126,78,82,46,5,184,13,42,18,48,31,167,619,56,35,45,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Atlético Madrid'],Left Center Forward,6382,Fernando Torres,30,17,7,1789,13,10,3,0,57,23,11,7.82,3.74,8,2,14,389,255,32,9,2,-4.65,365.79,455,3322.66,81,73,72,32,3,109,7,4,3,27,16,67,292,43,32,42,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Atlético Madrid'],Left Center Forward,17622,Jackson Martínez,15,8,1,699,7,7,0,0,26,9,2,2.71,1.17,3,2,8,196,140,21,7,4,0.96,238.04,189,1122.2,21,25,17,11,3,46,0,6,1,14,6,25,112,12,23,16,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Barcelona'],Goalkeeper,4691,Claudio Bravo,32,32,31,3009,0,1,0,0,0,0,0,0.0,0.0,0,0,0,1004,848,451,0,23,-3.02,970.7,598,2009.54,19,0,1,1,0,0,0,0,0,1,2,119,3,0,0,1,0,22,200,84,0,16
Spain - La Liga,2015/2016,['Barcelona'],Goalkeeper,20055,Marc-André ter Stegen,7,6,6,571,1,0,0,0,0,0,0,0.0,0.0,0,0,1,187,165,104,0,10,-0.66,223.55,98,311.92,3,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,7,42,13,0,3
Spain - La Liga,2015/2016,['Barcelona'],Right Back,6400,Aleix Vidal,9,6,4,570,3,2,1,0,1,0,0,0.02,0.02,0,1,3,451,386,72,12,6,-9.53,163.86,357,1770.93,42,8,6,2,0,9,2,8,3,10,11,25,73,4,8,6,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Barcelona'],Right Back,4324,Dani Alves,29,24,17,2236,5,7,7,0,16,4,0,0.66,0.45,1,4,18,1971,1682,270,86,79,-28.8,501.92,1555,7260.3,135,45,51,26,3,95,15,29,11,63,33,164,381,23,43,24,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Barcelona'],Right Back,27318,Douglas Pereira,1,0,0,15,1,0,0,0,0,0,0,0.0,0.0,0,0,0,3,2,0,0,0,-2.14,12.9,2,8.5,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,1,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Barcelona'],Right Back,6379,Sergi Roberto,31,21,12,2012,10,9,1,0,16,3,0,0.98,0.83,2,5,12,1372,1196,142,33,14,-13.16,515.76,1056,5614.36,107,30,45,31,0,72,8,23,5,27,21,95,338,17,20,26,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Barcelona'],Right Center Back,5213,Gerard Piqué,30,30,24,2693,0,6,12,0,14,6,2,2.36,1.67,9,1,4,2032,1863,465,3,81,-15.72,689.67,1652,10842.55,242,9,11,10,0,74,12,32,8,49,156,149,184,15,17,12,0,0,0,0,0,0
