competition,season,teams,main_role,player_id,player_name,presences,matches_started,full_matches,minutes_played,substitutions_in,substitutions_out,yellow_cards,red_cards,shots_attempted,shots_on_target,goals,xg_total,xg_avg,headers,assists,key_passes,passes_attempted,passes_completed,progressive_passes,crosses,switches,avg_pass_angle,avg_pass_length,carries_attempted,carry_distance_total,progressive_carries,carries_to_penalty_area,dribbles_attempted,dribbles_completed,dribble_overruns,duels_attempted,duels_won,interceptions_attempted,interceptions_won,blocks,clearances,ball_recoveries,pressures,dispossessed,fouls_committed,fouls_won,own_goals,gk_goals_conceded,gk_shots_faced,gk_saves,gk_penalties_saved,gk_clean_sheet
Italy - Serie A,2015/2016,['AC Milan'],Left Center Midfield,20561,Antonio Nocerino,2,1,0,73,1,1,0,0,0,0,0,0.0,0.0,0,0,1,38,31,11,1,2,-0.74,36.48,32,156.29,3,1,2,1,0,1,0,0,0,2,1,2,22,0,1,3,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AC Milan'],Left Center Midfield,8653,José Mauri,5,3,0,264,2,3,2,0,7,1,0,0.36,0.15,2,0,5,148,134,19,0,4,1.99,100.33,131,646.46,11,1,3,1,0,10,2,1,1,5,2,11,44,5,8,8,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AC Milan'],Left Midfield,7026,Giacomo Bonaventura,33,31,28,3021,2,3,8,0,106,35,6,7.64,1.86,3,8,60,1684,1250,287,70,92,14.96,631.56,1585,12195.99,269,77,114,68,2,82,9,30,18,73,34,220,441,73,46,87,0,0,0,0,0,0
Italy - Serie A,2015/2016,"['AC Milan', 'Genoa']",Right Wing,7702,Alessio Cerci,24,14,2,1377,10,12,1,0,39,11,4,4.43,2.03,4,2,20,463,299,52,53,16,-20.13,436.84,525,5445.43,131,42,62,26,2,46,2,2,0,20,2,67,250,44,22,38,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AC Milan'],Center Attacking Midfield,8668,Kevin-Prince Boateng,11,1,0,252,10,1,1,0,6,2,1,1.03,1.03,0,0,5,147,106,18,6,7,-1.12,184.76,124,584.47,7,14,5,4,0,15,0,1,1,2,4,16,55,6,7,5,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AC Milan'],Right Center Forward,21272,Luiz Adriano,26,12,6,1314,14,6,4,0,26,8,4,3.72,2.31,8,3,11,274,201,30,10,8,4.67,433.35,266,1350.23,18,28,13,9,1,70,4,5,2,23,7,43,232,16,36,35,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AC Milan'],Right Center Forward,5661,M'Baye Niang,16,15,1,1170,1,14,1,0,38,15,5,4.88,1.47,1,2,10,377,255,60,24,14,3.07,291.54,488,3775.53,89,49,69,29,5,83,4,6,5,25,4,67,241,34,52,30,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AC Milan'],Left Center Forward,5688,Carlos Bacca,38,36,23,3322,2,13,2,0,81,39,18,15.38,6.79,15,2,41,679,479,62,29,20,13.17,579.35,739,4195.69,70,117,53,29,2,113,3,6,1,40,25,110,471,64,33,28,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AC Milan'],Left Center Forward,20300,Jérémy Ménez,10,2,1,355,8,1,1,0,6,4,2,1.81,1.15,0,0,4,167,126,15,7,5,1.65,144.74,168,1162.04,20,7,6,2,0,14,1,0,0,2,1,14,71,10,7,5,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AC Milan'],Left Center Forward,3371,Mario Balotelli,20,8,5,941,12,3,6,0,43,11,1,3.55,0.96,2,1,23,361,229,68,37,13,5.41,396.45,364,2176.61,41,18,36,23,2,41,3,0,0,11,4,34,134,20,26,43,0,0,0,0,0,0
