season,player_id,player_name,presences,matches_started,full_matches,minutes_played,substitutions_in,substitutions_out,yellow_cards,red_cards,shots_attempted,shots_attempted_per90,shots_on_target,shots_on_target_per90,goals,goals_per90,xg_total,xg_total_per90,headers,assists,assists_per90,key_passes,key_passes_per90,passes_attempted,passes_attempted_per90,passes_completed,passes_completed_per90,pass_accuracy,progressive_passes,progressive_passes_per90,crosses,crosses_per90,switches,carries_attempted,carries_attempted_per90,carry_distance_total,carry_distance_total_per90,progressive_carries,carries_to_penalty_area,carries_to_penalty_area_per90,dribbles_attempted,dribbles_attempted_per90,dribbles_completed,dribbles_completed_per90,dribbles_success_rate,dribble_overruns,duels_attempted,duels_attempted_per90,duels_won,duels_won_per90,duels_lost,interceptions_attempted,interceptions_attempted_per90,duels_success_rate,interceptions_won,interceptions_won_per90,interceptions_lost,blocks,blocks_per90,interceptions_ratio,clearances,clearances_per90,ball_recoveries,ball_recoveries_per90,pressures,pressures_per90,dispossessed,fouls_committed,fouls_committed_per90,fouls_won,fouls_balance,own_goals,gk_goals_conceded,gk_goals_conceded_per90,gk_shots_faced,gk_shots_faced_per90,gk_saves,gk_saves_per90,gk_penalties_saved,gk_save_ratio,gk_clean_sheet,teams,competitions,main_role,avg_pass_angle,avg_pass_length,team_league_position,macro_role,goal_contribution,goal_contribution_per90
2015/2016,2936,Christophe Kerbrat,29,29,28,2755,0,1,7,0,4,0.13,0,0.0,0,0.0,0.2,0.01,2,0,0.0,4,0.13,1107,36.16,872,28.49,0.7877145438121048,384,12.54,4,0.13,51,706,23.06,4825.77,157.65,108,4,0.13,3,0.1,2,0.07,0.6666666666666666,0,115,3.76,17,0.56,98,56,1.83,0.14782608695652175,15,0.49,41,52,1.7,0.26785714285714285,177,5.78,113,3.69,343,11.21,3,26,0.85,21,-5,1,0,0.0,0,0.0,0,0.0,0,0.0,0,['Guingamp'],['France - Ligue 1'],Right Center Back,-11.83,738.87,16,DEF,0,0.0
2015/2016,2943,Lucas Deaux,16,13,10,1266,3,3,3,0,4,0.28,1,0.07,0,0.0,0.28,0.02,0,0,0.0,5,0.36,621,44.15,504,35.83,0.8115942028985508,190,13.51,6,0.43,41,453,32.2,2544.98,180.92,51,3,0.21,10,0.71,5,0.36,0.5,1,58,4.12,10,0.71,48,12,0.85,0.1724137931034483,7,0.5,5,35,2.49,0.5833333333333334,32,2.27,55,3.91,296,21.04,4,26,1.85,13,-13,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Nantes'],['France - Ligue 1'],Right Defensive Midfield,4.51,359.65,13,MID,0,0.0
2015/2016,2944,Benjamin Corgnet,16,5,1,613,11,4,0,0,11,1.62,2,0.29,1,0.15,1.13,0.17,1,1,0.15,7,1.03,264,38.76,160,23.49,0.6060606060606061,48,7.05,9,1.32,1,192,28.19,1171.62,172.02,27,9,1.32,19,2.79,7,1.03,0.3684210526315789,4,39,5.73,2,0.29,37,6,0.88,0.05128205128205128,3,0.44,3,12,1.76,0.5,7,1.03,34,4.99,145,21.29,10,18,2.64,21,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Saint-Étienne'],['France - Ligue 1'],Center Attacking Midfield,1.22,252.19,6,MID,2,0.29
2015/2016,2946,Frédéric Guilbert,29,28,26,2574,1,2,3,0,10,0.35,1,0.03,0,0.0,0.35,0.01,0,0,0.0,7,0.24,1236,43.22,930,32.52,0.7524271844660194,335,11.71,24,0.84,33,809,28.29,4801.8,167.9,97,3,0.1,31,1.08,17,0.59,0.5483870967741935,5,130,4.55,13,0.45,117,50,1.75,0.1,12,0.42,38,63,2.2,0.24,111,3.88,110,3.85,399,13.95,17,29,1.01,16,-13,1,0,0.0,0,0.0,0,0.0,0,0.0,0,['Bordeaux'],['France - Ligue 1'],Right Center Back,-20.51,650.87,14,DEF,0,0.0
2015/2016,2947,Anthony Lopes,37,37,37,3548,0,0,2,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,1065,27.02,760,19.28,0.7136150234741784,658,16.69,0,0.0,14,483,12.25,2282.09,57.89,38,0,0.0,1,0.03,1,0.03,1.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,2,0.05,0.0,4,0.1,166,4.21,4,0.1,0,0,0.0,8,8,0,43,1.09,213,5.4,105,2.66,0,0.49295774647887325,13,['Lyon'],['France - Ligue 1'],Goalkeeper,2.28,1435.7,2,GK,0,0.0
2015/2016,2948,Nabil Fekir,9,5,3,512,4,2,1,0,20,3.52,8,1.41,4,0.7,1.91,0.34,0,0,0.0,11,1.93,209,36.74,173,30.41,0.8277511961722488,29,5.1,7,1.23,15,237,41.66,1620.79,284.9,29,21,3.69,25,4.39,14,2.46,0.56,1,21,3.69,2,0.35,19,3,0.53,0.09523809523809523,1,0.18,2,5,0.88,0.3333333333333333,1,0.18,15,2.64,77,13.54,17,10,1.76,6,-4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Lyon'],['France - Ligue 1'],Right Wing,-3.0,166.83,2,FWD,4,0.7
2015/2016,2950,Jonas Martin,36,35,31,3303,1,4,5,0,31,0.84,12,0.33,4,0.11,3.4,0.09,3,3,0.08,23,0.63,2153,58.66,1850,50.41,0.8592661402693915,289,7.87,32,0.87,59,1804,49.16,10474.72,285.41,198,33,0.9,62,1.69,43,1.17,0.6935483870967742,5,120,3.27,14,0.38,106,52,1.42,0.11666666666666667,21,0.57,31,81,2.21,0.40384615384615385,41,1.12,229,6.24,670,18.26,71,44,1.2,49,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Montpellier'],['France - Ligue 1'],Left Defensive Midfield,8.69,637.71,11,MID,7,0.19
2015/2016,2953,Kader Mangane,30,27,26,2621,3,1,7,0,15,0.52,1,0.03,1,0.03,1.45,0.05,5,1,0.03,7,0.24,1006,34.54,753,25.86,0.7485089463220675,403,13.84,4,0.14,25,724,24.86,5186.11,178.08,102,3,0.1,10,0.34,7,0.24,0.7,1,112,3.85,20,0.69,92,40,1.37,0.17857142857142858,14,0.48,26,41,1.41,0.35,178,6.11,138,4.74,339,11.64,11,38,1.3,21,-17,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Gazélec Ajaccio'],['France - Ligue 1'],Right Center Back,-3.04,779.72,19,DEF,2,0.07
2015/2016,2955,Ronny Rodelin,35,34,21,2981,1,13,1,0,76,2.29,28,0.85,10,0.3,5.46,0.16,14,2,0.06,36,1.09,1166,35.2,730,22.04,0.6260720411663808,270,8.15,66,1.99,51,845,25.51,4730.17,142.81,81,36,1.09,45,1.36,26,0.78,0.5777777777777777,0,127,3.83,11,0.33,116,27,0.82,0.08661417322834646,13,0.39,14,56,1.69,0.48148148148148145,39,1.18,160,4.83,389,11.74,40,21,0.63,44,23,1,0,0.0,0,0.0,0,0.0,0,0.0,0,"['Caen', 'Lille']",['France - Ligue 1'],Right Wing,-7.07,685.43,"[7, 5]",FWD,12,0.36
2015/2016,2956,Bertrand Traoré,10,4,0,424,6,4,0,0,17,3.61,6,1.27,2,0.42,1.61,0.34,0,1,0.21,4,0.85,137,29.08,115,24.41,0.8394160583941606,10,2.12,4,0.85,1,135,28.66,687.77,145.99,8,17,3.61,13,2.76,10,2.12,0.7692307692307693,1,17,3.61,2,0.42,15,3,0.64,0.11764705882352941,1,0.21,2,8,1.7,0.3333333333333333,4,0.85,14,2.97,92,19.53,6,4,0.85,5,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Chelsea'],['England - Premier League'],Center Forward,-3.7,159.88,10,FWD,3,0.64
2015/2016,2959,Julien Féret,38,37,32,3443,1,5,1,0,33,0.86,12,0.31,4,0.1,3.7,0.1,1,8,0.21,63,1.65,1774,46.37,1228,32.1,0.6922209695603156,492,12.86,49,1.28,77,1346,35.18,8771.28,229.28,189,26,0.68,63,1.65,31,0.81,0.49206349206349204,5,113,2.95,12,0.31,101,46,1.2,0.10619469026548672,21,0.55,25,79,2.07,0.45652173913043476,52,1.36,270,7.06,612,16.0,70,18,0.47,55,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Caen'],['France - Ligue 1'],Left Center Midfield,7.27,813.45,7,MID,12,0.31
2015/2016,2961,Yann Bodiger,22,12,8,1169,10,4,7,0,10,0.77,2,0.15,1,0.08,0.77,0.06,2,0,0.0,6,0.46,696,53.58,523,40.27,0.7514367816091954,193,14.86,2,0.15,11,519,39.96,2954.02,227.43,51,5,0.38,24,1.85,15,1.15,0.625,0,63,4.85,12,0.92,51,26,2.0,0.19047619047619047,10,0.77,16,23,1.77,0.38461538461538464,27,2.08,98,7.54,316,24.33,14,25,1.92,10,-15,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Toulouse'],['France - Ligue 1'],Center Defensive Midfield,1.05,449.03,17,MID,1,0.08
2015/2016,2963,Rémy Vercoutre,38,38,38,3615,0,0,2,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,1042,25.94,579,14.41,0.555662188099808,954,23.75,0,0.0,23,355,8.84,2557.05,63.66,73,0,0.0,1,0.02,1,0.02,1.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1,0.02,0.0,0,0.0,180,4.48,3,0.07,0,0,0.0,5,5,0,52,1.29,306,7.62,123,3.06,0,0.4019607843137255,10,['Caen'],['France - Ligue 1'],Goalkeeper,-1.6,2146.22,7,GK,0,0.0
2015/2016,2966,Stéphane Sessègnon,25,21,9,1853,4,12,1,0,28,1.36,8,0.39,2,0.1,1.25,0.06,0,2,0.1,26,1.26,638,30.99,463,22.49,0.725705329153605,76,3.69,51,2.48,15,722,35.07,6520.9,316.72,166,41,1.99,84,4.08,50,2.43,0.5952380952380952,4,60,2.91,8,0.39,52,18,0.87,0.13333333333333333,12,0.58,6,29,1.41,0.6666666666666666,15,0.73,145,7.04,220,10.69,59,22,1.07,59,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['West Bromwich Albion'],['England - Premier League'],Right Midfield,-8.16,451.87,14,MID,4,0.19
2015/2016,2967,Mamadou Samassa,1,1,1,95,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,31,29.37,16,15.16,0.5161290322580645,31,29.37,0,0.0,0,11,10.42,41.22,39.05,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,6,5.68,0,0.0,0,0,0.0,0,0,0,1,0.95,8,7.58,2,1.89,0,0.25,0,['Guingamp'],['France - Ligue 1'],Goalkeeper,-0.02,56.13,16,GK,0,0.0
2015/2016,2968,Elias Kachunga,10,3,0,307,7,3,0,0,4,1.17,1,0.29,0,0.0,0.37,0.11,1,0,0.0,0,0.0,75,21.99,48,14.07,0.64,8,2.35,2,0.59,0,73,21.4,418.56,122.7,10,5,1.47,5,1.47,2,0.59,0.4,0,27,7.92,1,0.29,26,1,0.29,0.037037037037037035,0,0.0,1,3,0.88,0.0,3,0.88,9,2.64,88,25.8,5,9,2.64,10,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Ingolstadt'],['Germany - 1. Bundesliga'],Center Forward,0.14,114.71,11,FWD,0,0.0
2015/2016,2969,Karim Azamoum,13,9,3,770,4,6,2,0,14,1.64,5,0.58,2,0.23,0.93,0.11,0,1,0.12,13,1.52,378,44.18,292,34.13,0.7724867724867724,90,10.52,13,1.52,11,313,36.58,1624.69,189.9,28,7,0.82,11,1.29,3,0.35,0.2727272727272727,0,54,6.31,8,0.94,46,9,1.05,0.14814814814814814,3,0.35,6,9,1.05,0.3333333333333333,10,1.17,33,3.86,198,23.14,12,15,1.75,7,-8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Troyes'],['France - Ligue 1'],Right Midfield,-4.19,226.19,20,MID,3,0.35
2015/2016,2970,Christian Kouakou,6,0,0,158,6,0,1,0,5,2.85,3,1.71,1,0.57,0.34,0.19,0,0,0.0,0,0.0,36,20.51,24,13.67,0.6666666666666666,5,2.85,2,1.14,1,38,21.65,220.81,125.78,3,3,1.71,2,1.14,1,0.57,0.5,0,4,2.28,0,0.0,4,1,0.57,0.0,0,0.0,1,1,0.57,0.0,1,0.57,6,3.42,30,17.09,3,6,3.42,2,-4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Caen'],['France - Ligue 1'],Right Wing,-1.4,100.04,7,FWD,1,0.57
2015/2016,2971,Romain Genevois,13,10,9,1058,3,1,4,0,1,0.09,1,0.09,1,0.09,0.77,0.07,0,0,0.0,3,0.26,707,60.14,609,51.81,0.8613861386138614,155,13.19,2,0.17,23,527,44.83,2627.32,223.5,46,2,0.17,8,0.68,5,0.43,0.625,0,56,4.76,10,0.85,46,23,1.96,0.17857142857142858,9,0.77,14,24,2.04,0.391304347826087,47,4.0,42,3.57,160,13.61,4,13,1.11,10,-3,1,0,0.0,0,0.0,0,0.0,0,0.0,0,['OGC Nice'],['France - Ligue 1'],Right Center Back,-9.63,260.84,4,DEF,1,0.09
2015/2016,2975,Mathieu Deplagne,25,21,15,1896,4,6,6,0,6,0.28,2,0.09,0,0.0,0.26,0.01,0,0,0.0,7,0.33,995,47.23,805,38.21,0.8090452261306532,241,11.44,27,1.28,15,651,30.9,3016.52,143.19,59,10,0.47,15,0.71,6,0.28,0.4,1,75,3.56,4,0.19,71,29,1.38,0.05333333333333334,11,0.52,18,49,2.33,0.3793103448275862,63,2.99,100,4.75,255,12.1,24,28,1.33,17,-11,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Montpellier'],['France - Ligue 1'],Right Back,-19.1,447.43,11,DEF,0,0.0
2015/2016,2976,Samuel Grandsir,1,0,0,18,1,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,4,20.0,4,20.0,1.0,1,5.0,1,5.0,1,3,15.0,52.06,260.3,2,1,5.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1,5.0,0.0,0,0.0,0,0.0,3,15.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Troyes'],['France - Ligue 1'],Center Defensive Midfield,1.05,26.17,20,MID,0,0.0
2015/2016,2979,Jonathan Delaplace,22,21,9,1622,1,12,2,0,18,1.0,5,0.28,0,0.0,1.2,0.07,1,1,0.06,15,0.83,611,33.9,429,23.8,0.7021276595744681,112,6.21,21,1.17,12,450,24.97,2783.07,154.42,48,15,0.83,16,0.89,6,0.33,0.375,4,73,4.05,11,0.61,62,23,1.28,0.1506849315068493,10,0.55,13,35,1.94,0.43478260869565216,15,0.83,88,4.88,486,26.97,15,28,1.55,24,-4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Caen'],['France - Ligue 1'],Right Center Midfield,-4.84,380.17,7,MID,1,0.06
2015/2016,2980,Kévin Bérigaud,19,10,4,1098,9,7,0,0,22,1.8,9,0.74,3,0.25,2.66,0.22,6,1,0.08,7,0.57,353,28.93,259,21.23,0.7337110481586402,39,3.2,18,1.48,3,347,28.44,2002.58,164.15,34,21,1.72,19,1.56,7,0.57,0.3684210526315789,3,57,4.67,9,0.74,48,7,0.57,0.15789473684210525,4,0.33,3,16,1.31,0.5714285714285714,1,0.08,40,3.28,202,16.56,20,10,0.82,16,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Montpellier'],['France - Ligue 1'],Center Forward,0.5,268.35,11,FWD,4,0.33
2015/2016,2981,Alban Lafont,24,24,23,2268,0,1,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,688,27.3,335,13.29,0.48691860465116277,548,21.75,0,0.0,9,299,11.87,1598.75,63.44,27,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,1,0.04,136,5.4,1,0.04,0,0,0.0,11,11,0,27,1.07,182,7.22,51,2.02,0,0.2802197802197802,8,['Toulouse'],['France - Ligue 1'],Goalkeeper,-2.46,1197.77,17,GK,0,0.0
2015/2016,2983,Jérémy Morel,31,27,24,2664,4,3,3,0,9,0.3,2,0.07,0,0.0,0.45,0.02,3,1,0.03,24,0.81,1665,56.25,1326,44.8,0.7963963963963964,358,12.09,42,1.42,36,1084,36.62,6286.58,212.38,144,12,0.41,25,0.84,11,0.37,0.44,2,80,2.7,10,0.34,70,26,0.88,0.125,9,0.3,17,55,1.86,0.34615384615384615,90,3.04,123,4.16,310,10.47,27,20,0.68,23,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Lyon'],['France - Ligue 1'],Left Back,27.96,587.34,2,DEF,1,0.03
2015/2016,2985,Ludovic Baal,22,18,11,1606,4,7,0,0,1,0.06,0,0.0,0,0.0,0.01,0.0,0,3,0.17,14,0.78,976,54.69,784,43.94,0.8032786885245902,181,10.14,44,2.47,6,754,42.25,4556.02,255.32,102,6,0.34,34,1.91,22,1.23,0.6470588235294118,2,74,4.15,20,1.12,54,21,1.18,0.2702702702702703,11,0.62,10,50,2.8,0.5238095238095238,27,1.51,93,5.21,357,20.01,42,19,1.06,27,8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Rennes'],['France - Ligue 1'],Left Back,22.04,360.62,8,DEF,3,0.17
2015/2016,2988,Memphis Depay,29,16,10,1626,13,6,2,0,56,3.1,16,0.89,2,0.11,4.4,0.24,3,0,0.0,12,0.66,751,41.57,547,30.28,0.7283621837549934,80,4.43,63,3.49,32,782,43.28,5247.61,290.46,102,76,4.21,66,3.65,33,1.83,0.5,1,37,2.05,2,0.11,35,8,0.44,0.05405405405405406,5,0.28,3,20,1.11,0.625,10,0.55,87,4.82,187,10.35,66,22,1.22,39,17,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Manchester United'],['England - Premier League'],Left Wing,17.46,477.44,5,FWD,2,0.11
2015/2016,2989,Alexander Djiku,20,19,15,1599,1,3,6,1,2,0.11,1,0.06,0,0.0,0.06,0.0,2,0,0.0,4,0.23,734,41.31,517,29.1,0.7043596730245232,254,14.3,18,1.01,9,361,20.32,1798.0,101.2,39,3,0.17,15,0.84,11,0.62,0.7333333333333333,0,89,5.01,12,0.68,77,31,1.74,0.1348314606741573,8,0.45,23,35,1.97,0.25806451612903225,73,4.11,58,3.26,331,18.63,12,31,1.74,27,-4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Bastia'],['France - Ligue 1'],Right Back,-15.73,417.64,10,DEF,0,0.0
2015/2016,2990,Benjamin André,32,30,23,2768,2,7,3,0,22,0.72,7,0.23,0,0.0,1.21,0.04,8,2,0.07,22,0.72,1968,63.99,1583,51.47,0.804369918699187,397,12.91,18,0.59,66,1583,51.47,8069.77,262.38,120,15,0.49,55,1.79,32,1.04,0.5818181818181818,4,208,6.76,26,0.85,182,44,1.43,0.125,21,0.68,23,84,2.73,0.4772727272727273,57,1.85,192,6.24,818,26.6,72,54,1.76,86,32,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Rennes'],['France - Ligue 1'],Left Defensive Midfield,2.14,586.7,8,MID,2,0.07
2015/2016,2991,Hervé Bazile,25,11,3,1165,14,8,1,0,33,2.55,11,0.85,0,0.0,1.5,0.12,1,3,0.23,16,1.24,409,31.6,235,18.15,0.5745721271393643,73,5.64,56,4.33,28,365,28.2,2542.93,196.45,54,24,1.85,38,2.94,19,1.47,0.5,4,50,3.86,7,0.54,43,22,1.7,0.14,7,0.54,15,21,1.62,0.3181818181818182,11,0.85,46,3.55,224,17.3,32,14,1.08,15,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Caen'],['France - Ligue 1'],Left Midfield,4.72,491.29,7,MID,3,0.23
2015/2016,2992,Vincent Bessat,35,32,18,2874,3,14,2,0,40,1.25,11,0.34,1,0.03,2.03,0.06,3,1,0.03,31,0.97,1220,38.2,826,25.87,0.6770491803278689,297,9.3,87,2.72,34,902,28.25,6515.81,204.04,152,30,0.94,58,1.82,38,1.19,0.6551724137931034,5,120,3.76,14,0.44,106,36,1.13,0.11666666666666667,11,0.34,25,61,1.91,0.3055555555555556,52,1.63,158,4.95,540,16.91,39,23,0.72,24,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Caen'],['France - Ligue 1'],Left Midfield,19.73,709.19,7,MID,2,0.06
2015/2016,2993,Stéphane Darbion,25,17,8,1654,8,8,3,1,31,1.69,11,0.6,1,0.05,2.98,0.16,0,1,0.05,26,1.41,906,49.3,685,37.27,0.7560706401766004,131,7.13,28,1.52,27,800,43.53,5859.93,318.86,116,35,1.9,48,2.61,22,1.2,0.4583333333333333,3,68,3.7,3,0.16,65,15,0.82,0.04411764705882353,9,0.49,6,36,1.96,0.6,8,0.44,101,5.5,317,17.25,40,24,1.31,27,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Troyes'],['France - Ligue 1'],Right Midfield,-8.46,431.19,20,MID,2,0.11
2015/2016,2994,Abdoulaye Diallo,7,7,7,668,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,169,22.77,128,17.25,0.757396449704142,117,15.76,0,0.0,4,66,8.89,295.75,39.85,4,0,0.0,1,0.13,1,0.13,1.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,28,3.77,0,0.0,0,0,0.0,0,0,0,9,1.21,53,7.14,25,3.37,0,0.4716981132075472,1,['Rennes'],['France - Ligue 1'],Goalkeeper,0.57,282.53,8,GK,0,0.0
2015/2016,2995,Ángel Di María,28,25,11,2109,3,14,0,0,68,2.9,28,1.19,10,0.43,5.63,0.24,1,17,0.73,73,3.12,1724,73.57,1285,54.84,0.7453596287703016,354,15.11,99,4.22,105,1494,63.76,9598.17,409.59,185,61,2.6,80,3.41,38,1.62,0.475,7,16,0.68,6,0.26,10,15,0.64,0.375,5,0.21,10,28,1.19,0.3333333333333333,0,0.0,112,4.78,312,13.31,57,5,0.21,24,19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Paris Saint-Germain'],['France - Ligue 1'],Right Wing,-8.33,579.35,1,FWD,27,1.15
2015/2016,2999,Presnel Kimpembe,5,4,3,357,1,1,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,1,0.25,338,85.21,308,77.65,0.9112426035502958,71,17.9,0,0.0,8,264,66.55,1120.92,282.58,15,0,0.0,0,0.0,0,0.0,0.0,0,18,4.54,1,0.25,17,4,1.01,0.05555555555555555,0,0.0,4,9,2.27,0.0,17,4.29,17,4.29,54,13.61,2,5,1.26,1,-4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Paris Saint-Germain'],['France - Ligue 1'],Left Center Back,3.0,105.12,1,DEF,0,0.0
2015/2016,3002,Benjamin Nivet,33,26,18,2474,7,8,5,0,30,1.09,10,0.36,2,0.07,3.55,0.13,6,4,0.15,34,1.24,1468,53.4,1156,42.05,0.7874659400544959,316,11.5,24,0.87,40,1199,43.62,5304.04,192.95,73,28,1.02,24,0.87,12,0.44,0.5,1,122,4.44,14,0.51,108,28,1.02,0.11475409836065574,16,0.58,12,72,2.62,0.5714285714285714,42,1.53,155,5.64,722,26.27,63,46,1.67,47,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Troyes'],['France - Ligue 1'],Center Attacking Midfield,2.59,617.05,20,MID,6,0.22
2015/2016,3004,Oswaldo Vizcarrondo,30,29,28,2775,1,1,8,0,12,0.39,5,0.16,0,0.0,0.9,0.03,10,0,0.0,1,0.03,1076,34.9,802,26.01,0.7453531598513011,437,14.17,1,0.03,47,673,21.83,2950.58,95.69,42,3,0.1,3,0.1,2,0.06,0.6666666666666666,0,100,3.24,9,0.29,91,26,0.84,0.09,7,0.23,19,43,1.39,0.2692307692307692,182,5.9,74,2.4,250,8.11,4,37,1.2,12,-25,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Nantes'],['France - Ligue 1'],Right Center Back,-0.14,798.18,13,DEF,0,0.0
2015/2016,3008,Benjamin Lecomte,37,37,36,3430,0,0,0,1,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,3,0.08,1244,32.64,708,18.58,0.5691318327974276,1028,26.97,0,0.0,31,495,12.99,3325.76,87.26,54,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,1,0.03,191,5.01,7,0.18,0,1,0.03,9,8,0,53,1.39,315,8.27,122,3.2,0,0.3873015873015873,9,['Lorient'],['France - Ligue 1'],Goalkeeper,-1.59,1834.98,15,GK,0,0.0
2015/2016,3009,Kylian Mbappé,11,2,0,341,9,2,1,0,5,1.32,2,0.53,1,0.26,0.41,0.11,0,1,0.26,3,0.79,88,23.23,54,14.25,0.6136363636363636,9,2.38,9,2.38,4,115,30.35,1050.54,277.27,31,7,1.85,18,4.75,8,2.11,0.4444444444444444,1,14,3.7,4,1.06,10,2,0.53,0.2857142857142857,0,0.0,2,6,1.58,0.0,1,0.26,18,4.75,54,14.25,11,6,1.58,6,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['AS Monaco'],['France - Ligue 1'],Right Wing,-5.84,185.55,3,FWD,2,0.53
2015/2016,3010,Corentin Jean,33,29,21,2664,4,7,3,1,55,1.86,20,0.68,3,0.1,3.82,0.13,4,1,0.03,38,1.28,756,25.54,587,19.83,0.7764550264550265,50,1.69,37,1.25,15,725,24.49,5339.22,180.38,125,65,2.2,61,2.06,25,0.84,0.4098360655737705,4,140,4.73,10,0.34,130,7,0.24,0.07142857142857142,4,0.14,3,31,1.05,0.5714285714285714,7,0.24,103,3.48,525,17.74,50,41,1.39,61,20,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Troyes'],['France - Ligue 1'],Center Forward,0.3,495.19,20,FWD,4,0.14
2015/2016,3011,Daniel Congré,35,35,34,3305,0,0,2,1,10,0.27,2,0.05,2,0.05,1.07,0.03,7,0,0.0,3,0.08,1440,39.21,1218,33.17,0.8458333333333333,380,10.35,1,0.03,36,914,24.89,4905.21,133.58,68,3,0.08,15,0.41,10,0.27,0.6666666666666666,1,122,3.32,17,0.46,105,64,1.74,0.13934426229508196,20,0.54,44,54,1.47,0.3125,150,4.08,129,3.51,375,10.21,4,33,0.9,32,-1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Montpellier'],['France - Ligue 1'],Left Center Back,12.8,770.68,11,DEF,2,0.05
2015/2016,3016,Allan Saint-Maximin,16,1,0,502,15,1,1,0,6,1.08,2,0.36,1,0.18,0.34,0.06,0,0,0.0,4,0.72,137,24.56,87,15.6,0.635036496350365,16,2.87,7,1.25,6,189,33.88,1424.29,255.35,44,11,1.97,30,5.38,18,3.23,0.6,4,15,2.69,2,0.36,13,1,0.18,0.13333333333333333,0,0.0,1,4,0.72,0.0,1,0.18,36,6.45,93,16.67,14,4,0.72,9,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Hannover 96'],['Germany - 1. Bundesliga'],Center Attacking Midfield,-4.91,260.43,18,MID,1,0.18
2015/2016,3018,Giovanni Sio,34,28,18,2734,6,8,10,2,71,2.34,22,0.72,7,0.23,9.72,0.32,21,5,0.16,19,0.63,749,24.66,545,17.94,0.7276368491321762,72,2.37,12,0.4,13,684,22.52,4030.12,132.67,66,56,1.84,49,1.61,24,0.79,0.4897959183673469,3,164,5.4,7,0.23,157,8,0.26,0.042682926829268296,5,0.16,3,43,1.42,0.625,13,0.43,73,2.4,494,16.26,52,63,2.07,45,-18,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Rennes'],['France - Ligue 1'],Center Forward,-6.56,506.32,8,FWD,12,0.4
