season,player_id,player_name,presences,matches_started,full_matches,minutes_played,substitutions_in,substitutions_out,yellow_cards,red_cards,shots_attempted,shots_attempted_per90,shots_on_target,shots_on_target_per90,goals,goals_per90,xg_total,xg_total_per90,headers,assists,assists_per90,key_passes,key_passes_per90,passes_attempted,passes_attempted_per90,passes_completed,passes_completed_per90,pass_accuracy,progressive_passes,progressive_passes_per90,crosses,crosses_per90,switches,carries_attempted,carries_attempted_per90,carry_distance_total,carry_distance_total_per90,progressive_carries,carries_to_penalty_area,carries_to_penalty_area_per90,dribbles_attempted,dribbles_attempted_per90,dribbles_completed,dribbles_completed_per90,dribbles_success_rate,dribble_overruns,duels_attempted,duels_attempted_per90,duels_won,duels_won_per90,duels_lost,interceptions_attempted,interceptions_attempted_per90,duels_success_rate,interceptions_won,interceptions_won_per90,interceptions_lost,blocks,blocks_per90,interceptions_ratio,clearances,clearances_per90,ball_recoveries,ball_recoveries_per90,pressures,pressures_per90,dispossessed,fouls_committed,fouls_committed_per90,fouls_won,fouls_balance,own_goals,gk_goals_conceded,gk_goals_conceded_per90,gk_shots_faced,gk_shots_faced_per90,gk_saves,gk_saves_per90,gk_penalties_saved,gk_save_ratio,gk_clean_sheet,teams,competitions,main_role,avg_pass_angle,avg_pass_length,team_league_position,macro_role,goal_contribution,goal_contribution_per90
2015/2016,10783,Lee Cattermole,31,27,17,2368,4,11,8,0,10,0.38,1,0.04,0,0.0,0.68,0.03,0,0,0.0,20,0.76,970,36.87,729,27.71,0.7515463917525773,260,9.88,8,0.3,34,659,25.05,3178.47,120.8,37,2,0.08,19,0.72,14,0.53,0.7368421052631579,0,86,3.27,16,0.61,70,36,1.37,0.18604651162790697,15,0.57,21,47,1.79,0.4166666666666667,38,1.44,127,4.83,440,16.72,23,47,1.79,20,-27,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Sunderland'],['England - Premier League'],Center Defensive Midfield,-1.76,686.33,17,MID,0,0.0
2015/2016,10790,Vieirinha,26,22,14,1979,4,8,3,0,28,1.27,9,0.41,1,0.05,1.65,0.08,1,5,0.23,31,1.41,1304,59.3,977,44.43,0.7492331288343558,297,13.51,72,3.27,82,1063,48.34,5659.18,257.37,116,25,1.14,37,1.68,24,1.09,0.6486486486486487,3,88,4.0,11,0.5,77,29,1.32,0.125,12,0.55,17,53,2.41,0.41379310344827586,29,1.32,133,6.05,296,13.46,27,16,0.73,59,43,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Wolfsburg'],['Germany - 1. Bundesliga'],Right Back,-18.45,577.53,8,DEF,6,0.27
2015/2016,10802,André Gomes,30,27,20,2491,3,7,10,0,42,1.52,16,0.58,3,0.11,2.4,0.09,2,3,0.11,23,0.83,1342,48.49,1081,39.06,0.8055141579731744,234,8.45,21,0.76,52,1350,48.78,9459.78,341.78,202,38,1.37,113,4.08,69,2.49,0.6106194690265486,10,136,4.91,14,0.51,122,23,0.83,0.10294117647058823,15,0.54,8,47,1.7,0.6521739130434783,15,0.54,171,6.18,576,20.81,85,64,2.31,55,-9,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Valencia'],['Spain - La Liga'],Left Center Midfield,1.27,561.49,11,MID,6,0.22
2015/2016,10805,Ricardo Carvalho,33,33,29,3065,0,4,8,0,8,0.23,5,0.15,2,0.06,0.64,0.02,8,0,0.0,3,0.09,1419,41.67,1248,36.65,0.879492600422833,423,12.42,3,0.09,35,946,27.78,4502.84,132.22,55,1,0.03,2,0.06,2,0.06,1.0,0,99,2.91,7,0.21,92,40,1.17,0.0707070707070707,11,0.32,29,69,2.03,0.275,140,4.11,105,3.08,238,6.99,2,26,0.76,16,-10,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['AS Monaco'],['France - Ligue 1'],Left Center Back,5.9,746.23,3,DEF,2,0.06
2015/2016,10822,Sonny Kittel,8,1,0,302,7,1,0,0,7,2.09,0,0.0,0,0.0,0.59,0.18,2,0,0.0,1,0.3,95,28.31,62,18.48,0.6526315789473685,16,4.77,4,1.19,2,94,28.01,508.88,151.65,9,6,1.79,6,1.79,3,0.89,0.5,2,14,4.17,0,0.0,14,1,0.3,0.0,1,0.3,0,11,3.28,1.0,0,0.0,21,6.26,78,23.25,3,5,1.49,9,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Eintracht Frankfurt'],['Germany - 1. Bundesliga'],Left Wing,-1.76,118.67,16,FWD,0,0.0
2015/2016,10852,Miguel Cardoso,3,0,0,58,3,0,0,0,3,4.66,0,0.0,0,0.0,0.09,0.14,0,1,1.55,0,0.0,16,24.83,12,18.62,0.75,3,4.66,0,0.0,1,19,29.48,146.82,227.82,2,1,1.55,4,6.21,1,1.55,0.25,0,2,3.1,1,1.55,1,1,1.55,0.5,1,1.55,0,0,0.0,1.0,1,1.55,2,3.1,12,18.62,1,1,1.55,0,-1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['RC Deportivo La Coruña'],['Spain - La Liga'],Left Wing,-0.33,35.38,15,FWD,1,1.55
2015/2016,10868,Ricardo Horta,17,9,0,822,8,10,2,0,18,1.97,2,0.22,0,0.0,1.12,0.12,0,0,0.0,7,0.77,299,32.74,231,25.29,0.7725752508361204,43,4.71,9,0.99,10,302,33.07,1821.68,199.45,31,18,1.97,29,3.18,16,1.75,0.5517241379310345,5,46,5.04,2,0.22,44,12,1.31,0.043478260869565216,5,0.55,7,20,2.19,0.4166666666666667,8,0.88,38,4.16,172,18.83,18,20,2.19,8,-12,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Málaga'],['Spain - La Liga'],Left Midfield,5.22,296.47,8,MID,0,0.0
2015/2016,10881,Diogo Figueiras,13,11,4,863,2,7,4,0,7,0.73,3,0.31,1,0.1,0.16,0.02,0,0,0.0,4,0.42,394,41.09,289,30.14,0.733502538071066,84,8.76,17,1.77,1,307,32.02,1689.35,176.18,36,18,1.88,14,1.46,9,0.94,0.6428571428571429,3,30,3.13,4,0.42,26,13,1.36,0.13333333333333333,4,0.42,9,18,1.88,0.3076923076923077,22,2.29,51,5.32,165,17.21,13,18,1.88,10,-8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,"['Genoa', 'Sevilla']","['Italy - Serie A', 'Spain - La Liga']",Right Wing Back,-5.625,114.25,"[10, 7]",DEF,1,0.1
2015/2016,10896,Marc Stendera,26,24,13,2116,2,11,9,0,39,1.66,16,0.68,2,0.09,1.96,0.08,3,1,0.04,23,0.98,1078,45.85,781,33.22,0.7244897959183674,295,12.55,27,1.15,50,929,39.51,5359.93,227.97,110,25,1.06,59,2.51,42,1.79,0.711864406779661,3,129,5.49,25,1.06,104,26,1.11,0.1937984496124031,13,0.55,13,61,2.59,0.5,16,0.68,166,7.06,746,31.73,61,54,2.3,42,-12,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Eintracht Frankfurt'],['Germany - 1. Bundesliga'],Right Defensive Midfield,-2.42,586.53,16,MID,3,0.13
2015/2016,10902,Philipp Hosiner,15,4,2,630,11,2,2,0,12,1.71,7,1.0,1,0.14,2.34,0.33,0,0,0.0,4,0.57,154,22.0,106,15.14,0.6883116883116883,21,3.0,11,1.57,1,133,19.0,539.0,77.0,7,11,1.57,9,1.29,5,0.71,0.5555555555555556,0,38,5.43,1,0.14,37,0,0.0,0.02631578947368421,0,0.0,0,5,0.71,0.0,3,0.43,13,1.86,107,15.29,7,8,1.14,11,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['FC Köln'],['Germany - 1. Bundesliga'],Right Center Forward,3.63,250.74,9,FWD,1,0.14
