competitions,season,main_team,teams,main_role,player_id,player_name,presences,matches_started,full_matches,minutes_played,substitutions_in,substitutions_out,yellow_cards,red_cards,shots_attempted,goals,shots_on_target,xg_total,xg_avg,penalties,headers,assists,key_passes,passes_attempted,passes_completed,pass_accuracy,progressive_passes,crosses,switches,avg_pass_angle,avg_pass_length,carries_attempted,carry_distance_total,progressive_carries,carries_to_penalty_area,dribbles_attempted,dribbles_completed,dribble_success_rate,dribble_overruns,duels_attempted,duels_won,duels_lost,duels_ratio,interceptions_attempted,interceptions_won,interceptions_lost,interceptions_ratio,blocks,clearances,ball_recoveries,pressures,dispossessed,fouls_committed,fouls_won,fouls_balance,own_goals,gk_shots_faced,gk_saves,gk_save_ratio,gk_penalties_saved,gk_claims,gk_punches,gk_clearances,gk_smother,gk_sweeper,gk_errors,gk_goals_conceded,gk_clean_sheet
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Center Attacking Midfield,134561,Wallyson Mallmann,17,8,3,796.78,9,5,4,0,15,0,5,0.91,0.45,0,0,2,7,501,411,0.82,71,5,18,-1.33,314.39,479,2611.39,35,7,18,10,0.55,1,34,7,27,0.23,6,4,2,0.91,20,7,54,209,25,22,24,2,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Right Center Forward,403378,Antony Ranieri,2,0,0,12.02,2,0,1,0,0,0,0,0.0,0.0,0,0,0,0,2,1,0.5,0,0,0,4.18,12.5,3,15.78,0,0,1,1,1.0,0,0,0,0,,0,0,0,1.0,0,0,0,3,1,1,0,-1,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Right Center Forward,146696,Paulin Puel,10,2,0,224.03,8,2,0,0,2,0,1,0.07,0.03,0,0,0,1,62,44,0.84,5,0,0,7.88,157.82,64,275.9,5,5,6,1,0.2,0,9,2,7,0.19,2,1,1,0.9,2,0,3,40,6,1,1,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Right Center Forward,3210,Valère Germain,38,36,16,3199.63,2,20,3,0,66,14,36,10.28,4.68,0,14,6,38,1101,805,0.73,88,33,24,6.56,581.78,897,4739.48,88,65,57,24,0.36,2,175,6,169,0.03,15,5,10,0.76,43,45,89,456,41,20,45,25,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Left Center Forward,3230,Alassane Pléa,19,17,5,1446.35,2,12,1,0,47,6,21,6.73,2.83,0,4,4,10,526,383,0.73,42,39,15,2.16,282.81,581,3961.55,90,61,57,25,0.42,2,72,7,65,0.09,4,3,1,0.95,20,3,55,277,55,32,32,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Left Center Forward,3403,Alexandre Mendy,18,3,1,450.57,15,2,0,0,10,1,4,1.43,0.83,0,1,0,5,135,99,0.72,10,2,5,7.51,279.69,107,468.79,5,4,5,1,0.12,0,24,1,23,0.06,1,0,1,0.94,8,7,11,49,10,11,2,-9,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Left Center Forward,7595,Dorian Caddy,7,3,0,250.66,4,3,0,0,8,0,3,1.7,0.61,0,4,0,0,68,51,0.77,5,4,0,3.39,93.09,60,343.58,7,7,7,3,0.33,0,15,3,12,0.25,2,0,2,0.71,5,4,4,47,4,6,0,-6,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Left Center Forward,7198,Franck Honorat,6,0,0,140.73,6,0,1,0,2,0,2,0.08,0.08,0,1,0,2,54,29,0.49,5,2,3,-1.45,100.55,49,339.36,10,4,7,0,0.0,0,7,0,7,0.0,0,0,0,1.0,0,2,4,44,4,6,1,-5,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Left Center Forward,4723,Mickaël Le Bihan,3,1,0,145.53,2,1,0,0,7,1,3,0.88,0.5,0,2,1,2,49,38,0.75,7,2,0,1.37,46.69,64,396.21,10,6,8,4,0.5,0,9,1,8,0.07,0,0,0,1.0,4,0,7,26,5,1,0,-1,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Goalkeeper,4440,Kevin Trapp,34,34,33,3146.11,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,877,742,0.85,460,0,21,-2.31,1053.8,383,1260.92,10,0,0,0,,0,0,0,0,,0,0,0,1.0,1,1,102,4,1,1,3,2,0,213.0,82.0,0.71,2.0,33.0,5.0,4.0,1.0,19.0,30.0,19.0,18.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Goalkeeper,7269,Nicolas Douchez,1,1,1,93.38,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,33,30,0.91,15,0,0,-0.06,24.98,17,70.83,0,0,0,0,,0,0,0,0,,0,0,0,1.0,0,0,4,0,0,0,0,0,0,12.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Goalkeeper,7469,Salvatore Sirigu,3,2,2,239.32,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,93,78,0.83,44,0,3,-0.59,96.16,46,149.16,2,0,0,0,,0,0,0,0,,0,0,0,1.0,0,0,10,0,0,0,0,0,0,15.0,12.0,1.0,0.0,2.0,1.0,2.0,0.0,4.0,4.0,0.0,3.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Right Back,20048,Gregory van der Wiel,17,16,12,1437.55,1,4,2,0,8,2,4,1.15,0.66,0,0,3,10,1113,962,0.86,115,39,21,-22.28,285.04,816,3446.25,66,8,16,7,0.46,3,51,6,45,0.12,30,12,18,0.44,27,23,73,216,15,18,13,-5,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Right Back,3481,Serge Aurier,20,20,19,1872.22,0,1,8,0,23,2,5,2.47,1.71,0,9,1,8,1379,1163,0.83,167,59,29,-24.77,350.74,1045,4622.49,69,35,31,21,0.75,1,106,18,88,0.16,33,13,20,0.4,35,50,123,394,33,35,19,-16,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Right Center Back,4902,Kévin Rimane,1,0,0,10.98,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,8,8,1.0,2,0,0,-1.22,29.21,4,15.83,0,0,0,0,,0,0,0,0,,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Right Center Back,4372,Marquinhos,28,19,17,1933.29,9,2,1,0,8,1,2,1.23,1.23,0,7,0,4,1776,1635,0.89,305,12,34,-9.91,559.08,1321,5575.92,58,1,3,2,0.67,1,65,13,52,0.17,22,10,12,0.8,50,80,79,275,1,16,4,-12,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Right Center Back,3295,Thiago Silva,30,29,28,2731.54,1,1,3,0,16,1,4,2.13,1.68,0,13,0,7,2467,2320,0.94,474,3,74,-11.25,638.82,1873,7936.09,120,1,6,3,0.5,2,84,8,76,0.08,47,19,28,0.53,63,140,126,200,3,24,23,-1,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Left Center Back,3956,David Luiz,25,23,22,2181.91,2,1,4,0,14,1,5,1.14,0.76,0,9,1,5,1885,1723,0.92,374,1,37,8.23,564.69,1552,8386.65,158,3,14,7,0.44,1,55,7,48,0.12,35,15,20,0.66,46,78,101,191,3,23,19,-4,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Left Center Back,2999,Presnel Kimpembe,5,4,3,354.83,1,1,0,0,0,0,0,0.0,0.0,0,0,0,1,338,308,0.92,71,0,8,3.0,105.12,264,1120.92,15,0,0,0,,0,18,1,17,0.03,4,0,4,0.6,9,17,17,54,2,5,1,-4,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,"['Paris Saint-Germain', 'AS Monaco']",Left Back,4326,Layvin Kurzawa,19,17,16,1592.0,2,1,2,0,20,4,6,3.06,1.25,0,11,5,13,1119,954,0.85,122,46,19,26.17,318.21,838,4519.44,99,16,42,24,0.57,2,68,10,58,0.19,36,13,23,0.4,40,42,90,219,18,23,13,-10,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Left Back,26613,Maxwell,27,23,21,2230.66,4,2,0,0,10,3,5,1.08,1.05,0,0,3,22,1714,1535,0.9,210,55,26,28.44,462.08,1201,4723.75,71,24,25,13,0.5,2,64,14,50,0.19,22,4,18,0.58,36,39,90,165,9,14,11,-3,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Center Defensive Midfield,8515,Benjamin Stambouli,26,17,9,1513.03,9,8,2,0,3,0,0,0.32,0.32,0,1,0,5,1318,1206,0.89,161,7,21,-3.98,438.96,1032,4202.66,64,3,11,3,0.22,1,77,16,61,0.19,30,9,21,0.55,46,21,90,364,17,20,20,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Center Defensive Midfield,4325,Thiago Motta,31,25,15,2338.32,6,10,5,0,12,1,2,2.04,2.02,0,7,1,13,2916,2674,0.92,387,11,62,3.29,565.27,2295,9224.28,125,2,24,16,0.72,0,100,13,87,0.11,21,3,18,0.58,39,33,87,491,17,34,36,2,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Right Center Midfield,3025,Christopher Nkunku,5,4,2,344.65,1,2,0,0,1,0,0,0.03,0.03,0,0,0,2,280,259,0.93,24,0,3,0.28,77.35,242,1287.1,18,1,2,1,0.5,1,11,0,11,0.0,5,2,3,0.5,3,3,25,80,4,7,7,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Right Center Midfield,4370,Javier Pastore,16,11,6,916.65,5,5,1,0,20,2,6,2.71,1.4,0,1,6,23,913,730,0.79,188,13,16,1.59,297.51,797,4775.85,101,22,36,21,0.66,2,22,4,18,0.21,2,1,1,0.94,20,0,62,169,19,10,17,7,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Right Center Midfield,3166,Marco Verratti,17,11,6,1082.27,6,5,2,0,2,0,2,0.06,0.03,0,0,3,16,1443,1336,0.93,223,6,23,-4.54,292.85,1249,5313.72,78,6,28,22,0.79,0,44,10,34,0.2,9,3,6,0.74,22,7,73,290,23,12,29,17,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Right Center Midfield,7264,Thimotee Taufflieb,1,0,0,7.57,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,8,8,1.0,0,0,0,0.28,12.96,6,12.59,0,0,0,0,,0,2,0,2,0.0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Left Center Midfield,3026,Adrien Rabiot,24,19,9,1727.22,5,10,4,1,14,1,5,0.74,0.74,0,2,1,8,1481,1337,0.9,165,11,34,-0.25,424.91,1305,6839.11,90,15,42,24,0.58,2,83,16,67,0.2,26,14,12,0.62,38,14,127,482,29,37,31,-6,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Left Center Midfield,4375,Blaise Matuidi,30,22,12,2056.51,8,10,4,0,16,4,9,2.0,1.9,0,0,6,19,1632,1473,0.91,186,33,18,12.41,493.85,1440,6176.67,78,34,33,19,0.56,1,92,15,77,0.19,22,11,11,0.77,47,17,97,563,37,43,34,-9,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Right Wing,8510,Jean-Kévin Augustin,13,4,1,462.72,9,3,1,0,9,1,5,1.47,1.41,0,1,0,3,108,93,0.88,4,4,1,-14.87,191.61,130,800.14,13,10,15,6,0.38,0,13,3,10,0.26,4,1,3,0.81,10,5,17,100,13,7,7,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Right Wing,3745,Lucas Moura,35,25,10,2334.59,10,15,3,0,62,9,25,9.11,3.89,1,11,3,51,1287,1042,0.81,146,44,25,-1.33,583.83,1276,9271.31,184,56,100,59,0.58,3,79,19,60,0.2,23,11,12,0.74,24,2,134,282,85,30,60,30,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Right Wing,2995,Ángel Di María,28,25,11,2094.49,3,14,0,0,68,10,28,5.63,1.91,0,1,17,73,1724,1285,0.73,354,99,105,-8.33,579.35,1494,9598.17,185,61,80,38,0.44,7,16,6,10,0.35,15,5,10,0.71,28,0,112,312,57,5,24,19,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Left Wing,4319,Edinson Cavani,31,24,20,2396.52,7,4,3,0,86,19,45,17.33,5.23,1,20,5,18,806,676,0.85,58,15,24,14.06,506.2,607,2391.33,19,61,26,15,0.62,2,39,2,37,0.07,13,5,8,0.79,29,7,66,302,15,30,21,-9,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Left Wing,351521,Ezequiel Iván Lavezzi,16,3,1,481.05,13,2,0,0,13,2,7,1.31,1.0,0,0,0,8,255,199,0.77,27,20,7,7.02,262.36,236,1374.56,16,15,6,2,0.25,0,17,4,13,0.12,1,1,0,1.0,2,0,15,76,14,6,12,6,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Left Wing,34539,Hervin Scicchitano Ongenda,5,4,2,365.63,1,2,0,0,5,1,3,0.68,0.64,0,0,1,5,273,235,0.88,18,4,5,1.0,86.9,223,1209.71,19,1,5,2,0.38,0,8,0,8,0.0,3,2,1,0.8,13,0,18,75,8,5,10,5,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Paris Saint-Germain,['Paris Saint-Germain'],Center Forward,3672,Zlatan Ibrahimović,30,28,22,2552.65,2,6,1,0,148,36,78,22.7,4.76,6,17,13,32,1360,1057,0.76,177,26,28,3.41,484.44,1179,5970.11,114,124,37,20,0.56,1,41,9,32,0.19,7,3,4,0.9,21,25,100,204,54,26,35,9,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Goalkeeper,2994,Abdoulaye Diallo,7,7,7,664.46,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,169,128,0.78,117,0,4,0.57,282.53,66,295.75,4,0,1,1,1.0,0,0,0,0,,0,0,0,1.0,0,0,28,0,0,0,0,0,0,53.0,25.0,0.74,0.0,9.0,0.0,1.0,0.0,8.0,14.0,9.0,1.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Goalkeeper,3354,Benoît Guy Robert Costil,31,31,31,2940.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,911,548,0.61,739,0,33,-0.92,1507.55,359,2110.76,49,0,0,0,,0,0,0,0,,0,0,0,1.0,1,2,138,2,0,0,3,3,0,247.0,92.0,0.62,1.0,38.0,19.0,4.0,0.0,26.0,58.0,45.0,5.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Right Back,3195,Mehdi Zeffane,16,9,4,869.12,7,5,1,0,13,1,6,0.58,0.29,0,0,1,5,466,365,0.77,106,18,4,-6.06,254.68,349,1679.99,27,5,11,3,0.25,0,50,5,45,0.08,16,6,10,0.66,24,9,52,151,12,8,10,2,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Right Back,4475,Romain Danzé,20,19,15,1680.5,1,4,3,0,6,0,4,1.01,0.7,0,4,3,11,1033,795,0.77,303,23,10,-14.33,392.62,623,2669.86,58,2,15,10,0.6,0,64,1,63,0.01,26,10,16,0.42,48,73,64,223,7,15,6,-9,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Right Center Back,3022,Fallou Diagne,22,21,19,1953.36,1,2,7,0,17,5,5,2.72,1.58,2,7,0,3,943,754,0.8,346,3,48,-6.8,544.5,641,3615.62,59,2,11,7,0.62,1,70,7,63,0.08,32,10,22,0.5,48,108,110,195,9,33,11,-22,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Right Center Back,3753,Pedro Mendes,22,21,19,1954.54,1,2,5,0,9,0,0,0.39,0.32,0,1,0,5,942,776,0.81,240,11,39,-8.77,533.69,726,3759.4,64,6,21,15,0.61,3,70,9,61,0.17,32,5,27,0.4,49,100,102,247,4,29,36,7,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Center Back,3250,Mexer,16,16,12,1365.12,0,4,4,0,5,0,1,0.36,0.36,0,3,0,1,587,495,0.84,159,2,25,-0.89,390.16,425,2003.67,19,0,7,5,0.71,0,34,4,30,0.1,26,8,18,0.43,22,75,74,97,6,9,5,-4,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Left Center Back,40699,Sylvain Armand,34,33,32,3153.61,1,1,5,0,14,1,4,2.41,1.06,1,4,1,12,1742,1435,0.82,654,6,47,11.58,877.44,1246,7525.74,160,1,15,14,0.93,1,93,11,82,0.09,56,23,33,0.54,56,163,197,266,8,24,18,-6,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Left Back,3424,Cheikh M'Bengue,23,21,19,1990.05,2,2,2,0,5,0,0,0.47,0.37,0,3,0,9,1195,994,0.81,232,24,8,22.27,395.59,762,3359.97,64,8,12,6,0.5,0,77,8,69,0.08,32,10,22,0.47,57,62,84,249,16,35,25,-10,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Left Back,2985,Ludovic Baal,22,18,11,1594.23,4,7,0,0,1,0,0,0.01,0.01,0,0,3,14,976,784,0.79,181,44,6,22.04,360.62,754,4556.02,102,6,34,22,0.64,2,74,20,54,0.24,21,11,10,0.72,50,27,93,357,42,19,27,8,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Right Wing Back,7197,Steven Moreira,16,14,12,1306.45,2,2,2,0,2,0,0,0.03,0.03,0,0,0,9,775,582,0.75,185,30,11,-15.56,271.17,508,2504.01,51,9,15,5,0.24,1,46,6,40,0.18,26,10,16,0.51,30,23,79,253,14,15,5,-10,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Right Defensive Midfield,8672,Gelson Fernandes,33,33,32,3058.36,0,1,8,0,9,1,2,0.93,0.66,0,0,1,8,1564,1377,0.88,184,5,16,-0.09,562.85,1183,4738.58,49,7,16,12,0.73,0,165,32,133,0.2,35,11,24,0.57,83,39,179,942,27,70,22,-48,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Right Defensive Midfield,29714,Yacouba Sylla,20,18,11,1565.53,2,7,5,1,11,0,4,0.44,0.35,0,2,1,8,887,732,0.82,180,5,64,2.61,457.68,744,4356.43,38,2,28,22,0.77,1,81,11,70,0.17,21,9,12,0.69,28,42,116,386,36,39,21,-18,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Center Defensive Midfield,18921,Joris Gnagnon,7,2,1,246.32,5,1,1,0,3,0,1,0.08,0.03,0,0,0,1,86,74,0.92,14,0,2,3.35,106.74,81,306.03,4,1,3,1,0.25,0,14,3,11,0.17,3,1,2,0.71,1,8,10,33,4,6,4,-2,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Left Defensive Midfield,2990,Benjamin André,32,30,23,2749.79,2,7,3,0,22,0,7,1.21,0.65,0,8,2,22,1968,1583,0.81,397,18,66,2.14,586.7,1583,8069.77,120,15,55,32,0.58,4,208,26,182,0.13,44,21,23,0.69,84,57,192,818,72,54,86,32,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Left Center Midfield,45685,Sébastien Antoine Luc Salles Lamonge,3,1,0,121.45,2,1,0,0,3,0,1,0.4,0.4,0,0,0,3,98,76,0.77,17,3,5,1.29,60.74,73,295.33,4,1,3,1,0.33,1,6,0,6,0.0,1,0,1,0.67,0,0,5,26,3,5,2,-3,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Right Wing,5667,Kamil Grosicki,33,14,5,1650.11,19,9,2,0,52,9,24,4.38,2.16,0,1,3,23,652,416,0.64,95,63,26,-4.61,562.08,601,4869.08,120,72,49,24,0.4,5,42,3,39,0.08,6,4,2,0.97,20,14,64,228,45,18,7,-11,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Right Wing,5477,Ousmane Dembélé,26,22,14,2023.58,4,8,1,0,56,12,27,6.75,3.53,1,2,5,36,718,484,0.66,115,54,30,-4.0,474.01,835,7861.6,166,70,140,80,0.54,9,60,7,53,0.16,14,8,6,0.83,32,4,102,364,60,5,38,33,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Right Wing,16503,Pedro Henrique,23,15,0,1245.99,8,15,9,0,37,3,10,3.9,2.17,1,5,1,11,425,291,0.69,49,30,23,-2.48,453.51,385,3076.54,74,24,32,14,0.41,1,59,4,55,0.05,16,4,12,0.67,30,10,50,266,33,41,33,-8,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Center Attacking Midfield,3292,Abdoulaye Doucouré,16,11,9,1015.0,5,2,1,0,20,2,7,1.89,1.18,0,7,2,18,577,495,0.83,74,6,9,1.81,251.61,516,2895.79,49,15,21,12,0.51,1,46,2,44,0.04,8,5,3,0.94,20,6,54,303,28,9,5,-4,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Center Attacking Midfield,5692,Juan Fernando Quintero,12,9,2,837.43,3,7,0,0,16,1,5,0.73,0.34,0,0,2,12,613,488,0.8,127,6,32,-1.83,244.59,511,3046.62,51,13,40,20,0.56,4,9,1,8,0.14,4,3,1,0.92,7,2,45,72,17,0,9,9,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Center Attacking Midfield,40509,Kermit Erasmus,2,0,0,43.78,2,0,0,0,0,0,0,0.0,0.0,0,0,0,3,22,19,0.92,2,1,0,2.5,30.27,18,127.79,2,0,0,0,,0,2,0,2,0.0,0,0,0,1.0,2,0,1,8,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Center Attacking Midfield,4473,Nicolas Janvier,3,0,0,42.62,3,0,0,0,1,0,0,0.04,0.04,0,0,0,0,20,13,0.61,5,1,0,0.35,56.18,20,105.32,1,1,1,0,0.0,0,0,0,0,,1,1,0,1.0,0,0,1,10,2,2,2,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Center Attacking Midfield,4602,Yoann Gourcuff,12,8,0,638.27,4,8,0,0,10,2,3,0.93,0.41,0,1,0,12,390,339,0.85,61,3,6,5.23,201.47,366,2187.17,35,8,9,7,0.79,0,17,7,10,0.48,7,3,4,0.79,10,2,49,105,26,6,13,7,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
