competitions,season,main_team,teams,main_role,player_id,player_name,presences,matches_started,full_matches,minutes_played,substitutions_in,substitutions_out,yellow_cards,red_cards,shots_attempted,goals,shots_on_target,xg_total,xg_avg,penalties,headers,assists,key_passes,passes_attempted,passes_completed,pass_accuracy,progressive_passes,crosses,switches,avg_pass_angle,avg_pass_length,carries_attempted,carry_distance_total,progressive_carries,carries_to_penalty_area,dribbles_attempted,dribbles_completed,dribble_success_rate,dribble_overruns,duels_attempted,duels_won,duels_lost,duels_ratio,interceptions_attempted,interceptions_won,interceptions_lost,interceptions_ratio,blocks,clearances,ball_recoveries,pressures,dispossessed,fouls_committed,fouls_won,fouls_balance,own_goals,gk_shots_faced,gk_saves,gk_save_ratio,gk_penalties_saved,gk_claims,gk_punches,gk_clearances,gk_smother,gk_sweeper,gk_errors,gk_goals_conceded,gk_clean_sheet
['France - Ligue 1'],2015/2016,Nantes,['Nantes'],Left Defensive Midfield,7350,Birama Touré,23,21,17,1915.96,2,4,4,0,14,0,3,0.33,0.28,0,0,2,10,979,770,0.78,287,5,43,-0.62,515.36,757,4246.54,54,4,13,9,0.71,1,82,14,68,0.15,36,17,19,0.53,59,36,161,412,21,29,26,-3,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Nantes,['Nantes'],Left Defensive Midfield,4380,Guillaume Gillet,19,19,19,1800.91,0,0,5,0,22,1,5,1.28,0.62,0,7,0,9,1026,867,0.84,209,8,36,2.62,379.78,728,3821.96,45,7,23,16,0.71,0,104,17,87,0.16,45,21,24,0.5,31,38,111,382,20,32,26,-6,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Nantes,['Nantes'],Right Wing,3375,Adrien Thomasson,34,30,15,2612.27,4,15,7,0,39,2,11,2.48,1.66,0,0,5,44,1522,1121,0.72,265,75,57,-0.92,625.44,1351,9089.0,178,37,51,34,0.66,3,120,18,102,0.17,23,11,12,0.79,79,23,230,836,63,50,47,-3,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Nantes,['Nantes'],Right Wing,10461,Alexis Alégué,3,1,0,105.26,2,1,0,0,3,1,2,0.58,0.3,0,0,0,1,22,16,0.77,2,1,0,-2.19,37.37,20,144.97,3,2,2,1,0.5,0,2,0,2,0.0,0,0,0,1.0,2,1,4,24,2,2,1,-1,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Nantes,['Nantes'],Right Wing,3151,Jules Iloki,21,10,3,1083.95,11,7,2,0,18,1,2,2.92,1.99,0,0,1,17,421,285,0.66,55,43,16,-14.35,382.65,381,3031.71,75,19,30,17,0.47,2,33,5,28,0.13,8,3,5,0.9,22,5,54,226,24,24,7,-17,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Nantes,['Nantes'],Center Attacking Midfield,12351,Alejandro Bedoya,28,22,18,2187.4,6,4,2,1,46,3,18,5.37,2.18,0,11,3,23,903,722,0.78,106,40,16,-6.42,463.4,745,4580.81,89,33,19,11,0.59,1,116,8,108,0.07,15,6,9,0.79,37,24,97,399,27,51,18,-33,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Nantes,['Nantes'],Center Attacking Midfield,43896,Thomas Henry,2,0,0,38.86,2,0,1,0,0,0,0,0.0,0.0,0,0,0,0,6,4,0.5,1,0,0,-0.28,36.58,9,70.0,1,0,1,0,0.0,1,3,0,3,0.0,0,0,0,1.0,1,0,2,10,1,2,2,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Nantes,['Nantes'],Center Attacking Midfield,3319,Yacine Bammou,32,17,5,1633.07,15,12,6,1,43,4,12,2.97,1.43,0,9,1,14,696,503,0.73,92,33,21,-0.14,536.95,597,3048.96,47,32,28,14,0.47,1,111,5,106,0.05,13,7,6,0.88,29,18,80,423,37,48,19,-29,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Nantes,['Nantes'],Left Wing,31687,Adryan,26,19,3,1505.98,7,16,2,1,31,3,15,2.56,1.35,0,2,2,26,626,426,0.67,99,29,52,6.38,496.31,577,4676.75,110,16,76,38,0.46,8,83,13,70,0.22,6,3,3,0.88,20,5,90,298,43,15,41,26,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Nantes,['Nantes'],Left Wing,175093,Hicham M''Laab,2,0,0,36.23,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,13,10,0.66,1,0,1,-1.18,47.54,13,62.41,2,0,2,0,0.0,0,1,0,1,0.0,0,0,0,1.0,2,1,0,3,2,0,3,3,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Nantes,['Nantes'],Left Wing,401477,Johan Audel,29,11,5,1390.63,18,6,4,0,32,2,11,2.82,1.37,0,8,3,11,528,355,0.67,93,47,10,11.07,495.91,457,3480.33,78,29,27,9,0.36,5,84,7,77,0.08,4,1,3,0.9,25,13,63,273,28,27,19,-8,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Nantes,['Nantes'],Center Forward,3114,Emiliano Sala,31,22,12,2071.15,9,10,3,0,60,6,21,5.28,1.8,0,28,3,27,606,395,0.65,82,14,8,2.64,444.52,574,2933.32,51,45,45,19,0.39,1,175,10,165,0.05,10,9,1,0.97,42,24,87,508,64,59,43,-16,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Nantes,['Nantes'],Center Forward,6284,Kolbeinn Sigthórsson,26,19,7,1772.46,7,12,4,1,34,3,10,4.0,2.65,0,10,0,11,564,400,0.72,59,7,2,1.92,350.73,361,1872.69,25,21,30,20,0.74,1,148,6,142,0.03,5,2,3,0.88,28,37,57,324,30,41,32,-9,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Goalkeeper,5653,Mouez Hassen,14,12,12,1203.33,2,0,0,1,0,0,0,0.0,0.0,0,0,0,0,337,190,0.58,245,0,4,-0.64,647.3,129,721.09,8,0,0,0,,0,0,0,0,,0,0,0,1.0,1,0,55,3,0,1,4,3,0,85.0,33.0,0.71,0.0,30.0,17.0,0.0,0.0,13.0,22.0,13.0,5.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Goalkeeper,42427,Simon Pouplin,1,1,0,36.3,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,15,7,0.47,14,0,0,-0.14,50.54,7,72.29,1,0,0,0,,0,0,0,0,,0,0,0,1.0,0,0,3,0,0,0,0,0,0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Goalkeeper,4257,Yoan Cardinale,26,25,24,2419.21,1,1,3,0,0,0,0,0.0,0.0,0,0,0,0,716,491,0.7,498,0,8,-2.54,1039.1,320,1309.89,14,0,1,1,1.0,0,1,0,1,0.0,0,0,0,1.0,1,0,121,5,0,0,8,8,1,192.0,73.0,0.72,0.0,20.0,20.0,5.0,1.0,21.0,46.0,28.0,9.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Right Back,4270,Jérémy Pied,33,33,32,3110.86,0,1,10,0,21,0,4,0.77,0.66,0,1,3,28,2191,1672,0.76,470,110,41,-20.64,626.91,1591,10743.76,267,23,59,37,0.65,1,184,24,160,0.13,58,14,44,0.45,72,115,160,571,39,45,46,1,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Right Center Back,401474,Kévin Gomis,3,1,0,187.15,2,1,0,0,0,0,0,0.0,0.0,0,0,0,2,126,110,0.86,29,3,1,-2.43,57.71,92,322.23,6,1,1,1,1.0,1,10,1,9,0.07,0,0,0,1.0,2,3,6,23,0,2,0,-2,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Right Center Back,4373,Mathieu Bodmer,19,16,13,1426.13,3,3,3,0,4,1,2,0.45,0.45,0,2,1,8,931,785,0.84,249,3,34,-2.09,395.71,655,3091.59,58,4,2,2,1.0,0,63,9,54,0.1,16,1,15,0.66,15,61,67,143,4,27,11,-16,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Right Center Back,4443,Paul Baysse,30,29,29,2756.68,1,0,2,1,14,0,6,1.65,1.46,0,8,0,0,1718,1492,0.83,421,2,46,-7.39,685.09,1191,5586.11,74,2,14,11,0.86,1,122,11,111,0.11,46,5,41,0.36,49,168,115,254,4,23,23,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Right Center Back,2971,Romain Genevois,13,10,9,1051.46,3,1,4,0,1,1,1,0.77,0.77,0,0,0,3,707,609,0.86,155,2,23,-9.63,260.84,527,2627.32,46,2,8,5,0.67,0,56,10,46,0.23,23,9,14,0.54,24,47,42,160,4,13,10,-3,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Left Center Back,7638,Gautier Lloris,2,1,0,67.58,1,1,0,0,0,0,0,0.0,0.0,0,0,0,0,48,43,0.94,8,0,1,-0.66,38.95,33,79.39,0,0,0,0,,0,1,0,1,0.0,3,2,1,0.84,2,5,2,14,1,2,0,-2,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Left Center Back,3229,Maxime Le Marchand,26,26,23,2318.4,0,3,5,1,6,1,2,0.77,0.77,0,4,0,1,1489,1275,0.85,397,7,80,12.42,580.16,1034,4673.36,62,3,10,7,0.79,0,80,9,71,0.09,33,11,22,0.45,50,108,112,271,7,37,11,-26,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Left Center Back,7323,Olivier Boscagli,11,8,8,866.89,3,0,4,1,2,1,1,0.34,0.17,0,0,0,2,527,437,0.81,139,9,20,8.92,234.86,384,1795.15,33,1,5,3,0.67,1,30,5,25,0.15,11,4,7,0.61,16,53,27,111,6,10,19,9,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Left Back,41041,Jonathan Correia,4,2,2,253.54,2,0,1,0,0,0,0,0.0,0.0,0,0,0,0,159,138,0.84,17,3,2,5.84,72.05,111,475.75,9,0,5,4,0.67,0,8,0,8,0.0,5,2,3,0.58,8,6,8,33,1,2,2,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
